ID,EHR_kood,TaisAadress,Maakond,KOV,KOV_voi_LinnaOsa,Tänav_Hoone_Nr,Esmane_Kasutuselevotu_Aasta,Ajastu,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Maksimaalne_Korruste_Arv,Korterite arv trepikojas,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis
363,112016591,"Viljandi maakond, Viljandi linn, Suur-Kaare tn 41",Viljandi maakond, Viljandi linn, Viljandi linn, Suur-Kaare tn 41,1970,1961-1970,85,90,354,5,3,0,6,1,16.8,17,,,1062,4800.2,876.3,4345,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,0,1,0,D,2165,800
284,112016895,"Viljandi maakond, Viljandi linn, Suur-Kaare tn 55",Viljandi maakond, Viljandi linn, Viljandi linn, Suur-Kaare tn 55,1975,1971-1980,85,90,355,5,3,0,6,1,15.4,15.5,12.7,98.2,1077,4763.1,641.8,4223.5,suurplokk,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,0,C,2200,722
367,101011132,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 173",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 173,1971,1971-1980,88,90,376,5,3,0,6,1,15.6,15.5,11.7,92.3,1102,5676.4,1323.8,4838.3,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',0,1,0,0,1,0,C,2016.6,747.9
176,101012269,"Harju maakond, Tallinn, Mustamäe linnaosa, Retke tee 26",Harju maakond, Tallinn, Mustamäe linnaosa, Retke tee 26,1970,1961-1970,89,90,377,5,3,0,6,1,18,18,12.2,92.3,1121.8,5662.1,1259.8,4632,suurpaneel,4,0,'plekk',"'kaugküte', 'lokaalküte'",0,1,0,0,1,1,C,2371,724
197,101017121,"Harju maakond, Tallinn, Mustamäe linnaosa, Vaablase tn 1",Harju maakond, Tallinn, Mustamäe linnaosa, Vaablase tn 1,1970,1961-1970,89,90,378,5,3,0,6,1,17.6,17.5,14.2,92,1093,5674.4,1325.7,4761,suurpaneel,4,0,'katusekivi','kaugküte',0,1,0,0,1,0,B,1760,778
54,101018842,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 212",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 212,1968,1961-1970,89,90,396,5,3,0,6,1,14.8,15,12.2,92.1,1153.3,5690.6,1286.1,5690.6,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,C,1966.4,699.2
285,101010587,"Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 142",Harju maakond, Tallinn, Mustamäe linnaosa, E. Vilde tee 142,1965,1961-1970,90,90,401,5,3,0,6,1,15.6,15.5,,,1085,5673.8,1301.4,4793,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,0,1,C,2399,788.5
10,101010763,"Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 127",Harju maakond, Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee 127,1967,1961-1970,90,90,400,5,3,0,6,1,15.4,15.5,,,1086,5669,1317.2,4642,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,D,2780,764
113,101010967,"Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 246",Harju maakond, Tallinn, Mustamäe linnaosa, Sõpruse pst 246,1966,1961-1970,90,90,398,5,3,0,6,1,15.5,15.5,12.2,92.3,1145,5660,1312.1,4658,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal',"'lokaalküte', 'kaugküte'",1,0,0,0,1,1,C,1712,813.6
382,101013452,"Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 80",Harju maakond, Tallinn, Põhja-Tallinna linnaosa, Kolde pst 80,1966,1961-1970,90,90,398,5,3,0,6,1,15.6,15.5,,,1083,5685.5,1322.9,4797,suurpaneel,4,0,'bituumen või  PVC  plaat või rullmaterjal','kaugküte',1,0,0,0,1,1,C,2207,671
